2024/06/10 00:54:19 [error] 21740#14040: *2134 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while sending request to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/media?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fhome&canvas=edit"
2024/06/10 00:55:20 [error] 21740#14040: *2146 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while sending request to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/media?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fhome&canvas=edit"
2024/06/10 18:22:40 [error] 21740#14040: *10710 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fhome"
2024/06/10 23:18:46 [error] 24152#19828: *29721 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/edit.php?post_type=product"
2024/06/10 23:18:46 [error] 24152#19828: *29725 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/edit.php?post_type=product"
2024/06/10 23:44:07 [error] 24152#19828: *43701 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=wp-polyfill-inert,regenerator-runtime,wp-polyfill,wp-hooks,jquery-core,jquery-migrate,utils,jquery-ui-core,jquery-ui-mouse,jquer&load%5Bchunk_1%5D=y-ui-sortable&ver=6.5.4 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/edit.php?post_type=product&page=product_attributes"
2024/06/10 23:44:14 [error] 24152#19828: *43932 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/profile?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/admin.php?page=wc-admin"
2024/06/10 23:44:14 [error] 24152#19828: *43932 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/profile?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/admin.php?page=wc-admin"
2024/06/10 23:44:14 [error] 24152#19828: *43942 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_welcome_from_calypso_modal_dismissed%2Cwoocommerce_task_list_welcome_modal_dismissed&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/admin.php?page=wc-admin"
2024/06/10 23:44:14 [error] 24152#19828: *43942 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_welcome_from_calypso_modal_dismissed%2Cwoocommerce_task_list_welcome_modal_dismissed&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/admin.php?page=wc-admin"
2024/06/10 23:44:14 [error] 24152#19828: *43934 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=5&status=unactioned&type%5B0%5D=info&type%5B1%5D=marketing&type%5B2%5D=survey&type%5B3%5D=warning&orderby=date&order=desc&_fields%5B0%5D=id&_fields%5B1%5D=name&_fields%5B2%5D=title&_fields%5B3%5D=content&_fields%5B4%5D=type&_fields%5B5%5D=status&_fields%5B6%5D=actions&_fields%5B7%5D=date_created&_fields%5B8%5D=date_created_gmt&_fields%5B9%5D=layout&_fields%5B10%5D=image&_fields%5B11%5D=is_deleted&_fields%5B12%5D=is_read&_fields%5B13%5D=locale&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/admin.php?page=wc-admin"
2024/06/10 23:44:14 [error] 24152#19828: *43934 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=5&status=unactioned&type%5B0%5D=info&type%5B1%5D=marketing&type%5B2%5D=survey&type%5B3%5D=warning&orderby=date&order=desc&_fields%5B0%5D=id&_fields%5B1%5D=name&_fields%5B2%5D=title&_fields%5B3%5D=content&_fields%5B4%5D=type&_fields%5B5%5D=status&_fields%5B6%5D=actions&_fields%5B7%5D=date_created&_fields%5B8%5D=date_created_gmt&_fields%5B9%5D=layout&_fields%5B10%5D=image&_fields%5B11%5D=is_deleted&_fields%5B12%5D=is_read&_fields%5B13%5D=locale&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/admin.php?page=wc-admin"
2024/06/10 23:44:14 [error] 24152#19828: *43938 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/reports/performance-indicators?after=2024-06-10T00%3A00%3A00&before=2024-06-10T23%3A44%3A13&stats=revenue%2Ftotal_sales%2Corders%2Forders_count&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/admin.php?page=wc-admin"
2024/06/10 23:44:14 [error] 24152#19828: *43938 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/reports/performance-indicators?after=2024-06-10T00%3A00%3A00&before=2024-06-10T23%3A44%3A13&stats=revenue%2Ftotal_sales%2Corders%2Forders_count&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/admin.php?page=wc-admin"
2024/06/10 23:44:14 [error] 24152#19828: *43936 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=100&status=unactioned&type%5B0%5D=info&type%5B1%5D=marketing&type%5B2%5D=survey&type%5B3%5D=warning&orderby=date&order=desc&_fields%5B0%5D=id&_fields%5B1%5D=name&_fields%5B2%5D=title&_fields%5B3%5D=content&_fields%5B4%5D=type&_fields%5B5%5D=status&_fields%5B6%5D=actions&_fields%5B7%5D=date_created&_fields%5B8%5D=date_created_gmt&_fields%5B9%5D=layout&_fields%5B10%5D=image&_fields%5B11%5D=is_deleted&_fields%5B12%5D=is_read&_fields%5B13%5D=locale&is_read=false&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "lethal-doom.local", referrer: "http://lethal-doom.local/wp-admin/admin.php?page=wc-admin"
